row_id,timestamp,pickup,dropoff,stop,vehicle,time,date
1,11/1/2021 7:10,1,0,Huron,Rock,7:00:00,11/1/2021
2,11/1/2021 7:51,1,0,Huron,Rock,7:50:00,11/1/2021
3,11/1/2021 8:02,1,0,Michigan,Rock,8:01:00,11/1/2021
4,11/1/2021 8:41,1,0,Superior,Mantra,8:41:00,11/1/2021
5,11/1/2021 9:24,1,0,Huron,Lake,9:22:00,11/1/2021
6,11/1/2021 9:35,1,0,Huron,Cloud,9:34:00,11/1/2021
7,11/1/2021 9:36,1,0,Superior,Mantra,9:36:00,11/1/2021
8,11/1/2021 10:02,1,0,Superior,Rock,10:01:00,11/1/2021
9,11/1/2021 10:09,1,0,Huron,Lake,10:09:00,11/1/2021
10,11/1/2021 10:15,1,0,Michigan,Rock,10:15:00,11/1/2021
11,11/1/2021 10:19,1,0,Beach,Rock,10:19:00,11/1/2021
12,11/1/2021 11:58,1,0,St. Claire,Mantra,11:56:00,11/1/2021
13,11/1/2021 12:13,1,0,Superior,Cloud,12:12:00,11/1/2021
14,11/1/2021 12:14,1,0,Michigan,Rock,12:14:00,11/1/2021
15,11/1/2021 12:22,1,0,Huron,Cloud,12:22:00,11/1/2021
16,11/1/2021 12:43,1,0,Michigan,Mantra,12:43:00,11/1/2021
17,11/1/2021 13:40,1,0,St. Claire,Cloud,13:40:00,11/1/2021
18,11/1/2021 14:01,1,0,Superior,Lake,14:01:00,11/1/2021
19,11/1/2021 14:07,1,0,Michigan,Rock,14:06:00,11/1/2021
20,11/1/2021 14:28,1,0,Michigan,Cloud,14:28:00,11/1/2021
21,11/1/2021 14:30,2,0,Ontario,Lake,14:30:00,11/1/2021
22,11/1/2021 14:37,1,0,Ontario,Cloud,14:37:00,11/1/2021
23,11/1/2021 14:52,1,0,Michigan,Lake,14:52:00,11/1/2021
24,11/1/2021 14:54,1,0,Ontario,Rock,14:54:00,11/1/2021
25,11/1/2021 14:55,1,0,Superior,Cloud,14:55:00,11/1/2021
26,11/1/2021 15:34,1,0,St. Claire,Mantra,15:34:00,11/1/2021
27,11/1/2021 15:58,1,0,Erie,Mantra,15:56:00,11/1/2021
28,11/1/2021 16:31,1,0,Huron,Cloud,16:30:00,11/1/2021
29,11/1/2021 16:40,1,0,Beach,Lake,16:40:00,11/1/2021
30,11/1/2021 16:44,1,0,Michigan,Cloud,16:44:00,11/1/2021
31,11/1/2021 16:50,1,0,Beach,Rock,16:49:00,11/1/2021
32,11/1/2021 17:04,2,0,Michigan,Lake,17:04:00,11/1/2021
33,11/1/2021 17:09,1,0,St. Claire,Mantra,17:09:00,11/1/2021
34,11/1/2021 17:11,2,0,Crystal,Rock,17:11:00,11/1/2021
35,11/1/2021 17:30,1,0,Michigan,Lake,17:29:00,11/1/2021
36,11/1/2021 17:44,1,0,Beach,Rock,17:44:00,11/1/2021
37,11/1/2021 17:55,1,0,Crystal,Mantra,17:55:00,11/1/2021
38,11/1/2021 18:06,1,0,St. Claire,Mantra,18:06:00,11/1/2021
39,11/1/2021 18:19,2,0,Huron,Lake,18:19:00,11/1/2021
40,11/1/2021 18:49,2,0,St. Claire,Lake,18:48:00,11/1/2021
41,11/2/2021 6:54,1,0,Huron,Lake,6:54:00,11/2/2021
42,11/2/2021 6:57,2,0,St. Claire,Rock,6:57:00,11/2/2021
43,11/2/2021 7:46,1,0,Michigan,Rock,7:45:00,11/2/2021
44,11/2/2021 8:13,1,0,Superior,Lake,8:13:00,11/2/2021
45,11/2/2021 8:14,1,0,Huron,Mantra,8:13:00,11/2/2021
46,11/2/2021 8:33,2,0,Michigan,Rock,8:32:00,11/2/2021
47,11/2/2021 10:32,1,0,Beach,Lake,10:31:00,11/2/2021
48,11/2/2021 10:37,1,0,Huron,Lake,10:37:00,11/2/2021
49,11/2/2021 11:00,1,0,Ontario,Cloud,10:48:00,11/2/2021
50,11/2/2021 11:37,1,0,Beach,Cloud,11:37:00,11/2/2021
51,11/2/2021 11:52,1,0,Huron,Cloud,11:52:00,11/2/2021
52,11/2/2021 12:05,1,0,Petoskey,Rock,11:59:00,11/2/2021
53,11/2/2021 12:05,1,0,Beach,Lake,12:05:00,11/2/2021
54,11/2/2021 12:40,1,0,St. Claire,Cloud,12:35:00,11/2/2021
55,11/2/2021 12:50,1,0,Superior,Lake,12:45:00,11/2/2021
56,11/2/2021 12:51,1,0,Erie,Rock,12:51:00,11/2/2021
57,11/2/2021 12:52,2,0,Superior,Mantra,12:52:00,11/2/2021
58,11/2/2021 13:24,1,0,Huron,Lake,13:24:00,11/2/2021
59,11/2/2021 13:44,1,0,Crystal,Lake,13:43:00,11/2/2021
60,11/2/2021 13:57,1,0,Michigan,Lake,13:57:00,11/2/2021
61,11/2/2021 14:40,2,0,Michigan,Lake,14:40:00,11/2/2021
62,11/2/2021 14:44,2,0,Huron,Mantra,14:43:00,11/2/2021
63,11/2/2021 14:50,1,0,St. Claire,Mantra,14:49:00,11/2/2021
64,11/2/2021 14:57,3,0,Michigan,Mantra,14:57:00,11/2/2021
65,11/2/2021 15:16,1,0,Beach,Lake,15:16:00,11/2/2021
66,11/2/2021 15:55,1,0,Erie,Mantra,15:55:00,11/2/2021
67,11/2/2021 16:05,2,0,St. Claire,Lake,16:05:00,11/2/2021
68,11/2/2021 16:21,1,0,Michigan,Mantra,16:20:00,11/2/2021
69,11/2/2021 16:46,1,0,Michigan,Lake,16:46:00,11/2/2021
70,11/2/2021 16:54,3,0,Michigan,Rock,16:54:00,11/2/2021
71,11/2/2021 17:13,1,0,Michigan,Mantra,17:12:00,11/2/2021
72,11/2/2021 17:23,1,0,Crystal,Cloud,17:13:00,11/2/2021
73,11/2/2021 17:24,2,0,Huron,Cloud,17:23:00,11/2/2021
74,11/2/2021 17:25,1,0,Superior,Rock,17:24:00,11/2/2021
75,11/2/2021 17:38,2,0,Beach,Mantra,17:38:00,11/2/2021
76,11/2/2021 17:40,1,0,Erie,Rock,17:40:00,11/2/2021
77,11/2/2021 18:06,1,0,St. Claire,Mantra,18:06:00,11/2/2021
78,11/2/2021 18:07,2,0,Superior,Cloud,18:07:00,11/2/2021
79,11/2/2021 18:14,2,0,Crystal,Rock,18:14:00,11/2/2021
80,11/2/2021 18:37,2,0,Beach,Rock,18:37:00,11/2/2021
81,11/3/2021 7:00,1,0,Huron,Mantra,7:00:00,11/3/2021
82,11/3/2021 8:21,1,0,Huron,Mantra,8:21:00,11/3/2021
83,11/3/2021 8:44,1,0,Michigan,Mantra,8:44:00,11/3/2021
84,11/3/2021 8:54,1,0,Huron,Cloud,8:54:00,11/3/2021
85,11/3/2021 9:20,1,0,Superior,Cloud,9:19:00,11/3/2021
86,11/3/2021 9:36,2,0,Huron,Lake,9:36:00,11/3/2021
87,11/3/2021 9:47,1,0,Huron,Cloud,9:47:00,11/3/2021
88,11/3/2021 9:58,1,0,Huron,Rock,9:58:00,11/3/2021
89,11/3/2021 10:07,1,0,Superior,Cloud,10:05:00,11/3/2021
90,11/3/2021 10:15,2,0,Huron,Cloud,10:15:00,11/3/2021
91,11/3/2021 10:47,1,0,Huron,Mantra,10:46:00,11/3/2021
92,11/3/2021 11:05,1,0,Michigan,Lake,11:05:00,11/3/2021
93,11/3/2021 11:12,1,0,Michigan,Mantra,11:12:00,11/3/2021
94,11/3/2021 11:23,1,0,Beach,Rock,11:23:00,11/3/2021
95,11/3/2021 11:40,1,0,Michigan,Rock,11:40:00,11/3/2021
96,11/3/2021 11:53,1,0,Michigan,Lake,11:51:00,11/3/2021
97,11/3/2021 11:55,1,0,St. Claire,Rock,11:55:00,11/3/2021
98,11/3/2021 12:00,1,0,Michigan,Rock,12:00:00,11/3/2021
99,11/3/2021 12:10,1,0,Michigan,Mantra,12:09:00,11/3/2021
100,11/3/2021 12:58,1,0,St. Claire,Cloud,12:58:00,11/3/2021
101,11/3/2021 13:03,1,0,St. Claire,Mantra,13:03:00,11/3/2021
102,11/3/2021 13:22,1,0,Erie,Lake,13:22:00,11/3/2021
103,11/3/2021 13:41,1,0,St. Claire,Lake,13:41:00,11/3/2021
104,11/3/2021 14:03,3,0,Michigan,Lake,14:03:00,11/3/2021
105,11/3/2021 14:43,1,0,Michigan,Lake,14:43:00,11/3/2021
106,11/3/2021 14:44,2,0,Huron,Cloud,14:44:00,11/3/2021
107,11/3/2021 14:54,1,0,Ontario,Cloud,14:54:00,11/3/2021
108,11/3/2021 15:45,1,0,Michigan,Cloud,15:45:00,11/3/2021
109,11/3/2021 16:11,1,0,Erie,Mantra,16:11:00,11/3/2021
110,11/3/2021 16:30,1,0,Ontario,Rock,16:30:00,11/3/2021
111,11/3/2021 16:54,1,0,Michigan,Rock,16:54:00,11/3/2021
112,11/3/2021 17:56,1,0,Crystal,Cloud,17:56:00,11/3/2021
113,11/4/2021 7:14,1,0,Huron,Cloud,7:13:00,11/4/2021
114,11/4/2021 7:41,3,0,Huron,Cloud,7:41:00,11/4/2021
115,11/4/2021 8:42,1,0,Huron,Cloud,8:42:00,11/4/2021
116,11/4/2021 8:44,2,0,Michigan,Mantra,8:44:00,11/4/2021
117,11/4/2021 8:58,1,0,Michigan,Rock,8:57:00,11/4/2021
118,11/4/2021 8:58,1,0,Superior,Cloud,8:58:00,11/4/2021
119,11/4/2021 9:04,1,0,Erie,Mantra,9:04:00,11/4/2021
120,11/4/2021 9:10,1,0,Michigan,Rock,9:10:00,11/4/2021
121,11/4/2021 9:19,1,0,Michigan,Cloud,9:19:00,11/4/2021
122,11/4/2021 9:28,1,0,Huron,Rock,9:28:00,11/4/2021
123,11/4/2021 9:34,1,0,Superior,Mantra,9:33:00,11/4/2021
124,11/4/2021 9:43,1,0,Huron,Mantra,9:43:00,11/4/2021
125,11/4/2021 9:50,1,0,Michigan,Lake,9:49:00,11/4/2021
126,11/4/2021 10:02,1,0,Michigan,Mantra,10:01:00,11/4/2021
127,11/4/2021 10:18,1,0,Michigan,Mantra,10:18:00,11/4/2021
128,11/4/2021 10:33,2,0,Beach,Rock,10:33:00,11/4/2021
129,11/4/2021 10:37,1,0,Huron,Rock,10:37:00,11/4/2021
130,11/4/2021 10:50,2,0,Superior,Lake,10:49:00,11/4/2021
131,11/4/2021 11:21,2,0,Huron,Cloud,11:21:00,11/4/2021
132,11/4/2021 12:07,1,0,St. Claire,Lake,12:06:00,11/4/2021
133,11/4/2021 12:16,2,0,St. Claire,Cloud,12:16:00,11/4/2021
134,11/4/2021 12:27,1,0,Michigan,Lake,12:27:00,11/4/2021
135,11/4/2021 12:37,1,0,Michigan,Rock,12:37:00,11/4/2021
136,11/4/2021 12:59,1,0,Superior,Lake,12:45:00,11/4/2021
137,11/4/2021 13:08,1,0,Superior,Rock,13:08:00,11/4/2021
138,11/4/2021 13:33,1,0,Michigan,Rock,13:33:00,11/4/2021
139,11/4/2021 15:34,1,0,St. Claire,Mantra,15:33:00,11/4/2021
140,11/4/2021 15:45,1,0,Beach,Mantra,15:45:00,11/4/2021
141,11/4/2021 16:13,1,0,Beach,Mantra,16:12:00,11/4/2021
142,11/4/2021 16:18,2,0,Michigan,Mantra,16:18:00,11/4/2021
143,11/4/2021 16:34,1,0,Michigan,Lake,16:34:00,11/4/2021
144,11/4/2021 17:44,1,0,St. Claire,Lake,17:44:00,11/4/2021
145,11/4/2021 17:50,1,0,Michigan,Lake,17:50:00,11/4/2021
146,11/4/2021 17:59,2,0,Superior,Mantra,17:59:00,11/4/2021
147,11/4/2021 18:06,1,0,Crystal,Cloud,18:06:00,11/4/2021
148,11/4/2021 18:24,2,0,Superior,Lake,18:24:00,11/4/2021
149,11/4/2021 18:49,2,0,Huron,Mantra,18:48:00,11/4/2021
150,11/5/2021 7:07,1,0,Superior,Mantra,7:06:00,11/5/2021
151,11/5/2021 7:20,1,0,Huron,Cloud,7:20:00,11/5/2021
152,11/5/2021 7:36,1,0,St. Claire,Mantra,7:36:00,11/5/2021
153,11/5/2021 8:12,1,0,Huron,Lake,8:12:00,11/5/2021
154,11/5/2021 8:25,1,0,Erie,Cloud,8:25:00,11/5/2021
155,11/5/2021 8:30,1,0,Huron,Mantra,8:30:00,11/5/2021
156,11/5/2021 8:35,1,0,Michigan,Lake,8:35:00,11/5/2021
157,11/5/2021 8:51,2,0,Huron,Lake,8:50:00,11/5/2021
158,11/5/2021 9:07,2,0,Michigan,Mantra,9:06:00,11/5/2021
159,11/5/2021 9:50,2,0,Michigan,Mantra,9:49:00,11/5/2021
160,11/5/2021 10:20,2,0,Michigan,Cloud,10:20:00,11/5/2021
161,11/5/2021 10:42,1,0,Huron,Mantra,10:42:00,11/5/2021
162,11/5/2021 10:42,1,0,Superior,Rock,10:42:00,11/5/2021
163,11/5/2021 11:24,1,0,Michigan,Lake,11:23:00,11/5/2021
164,11/5/2021 11:37,1,0,Ontario,Rock,11:37:00,11/5/2021
165,11/5/2021 11:38,2,0,Huron,Lake,11:37:00,11/5/2021
166,11/5/2021 11:47,1,0,Michigan,Rock,11:47:00,11/5/2021
167,11/5/2021 11:50,1,0,Huron,Cloud,11:50:00,11/5/2021
168,11/5/2021 12:36,1,0,Huron,Lake,12:36:00,11/5/2021
169,11/5/2021 12:40,1,0,Michigan,Rock,12:40:00,11/5/2021
170,11/5/2021 13:00,2,0,Superior,Lake,12:56:00,11/5/2021
171,11/5/2021 13:27,1,0,St. Claire,Mantra,13:25:00,11/5/2021
172,11/5/2021 13:33,2,0,Huron,Lake,13:30:00,11/5/2021
173,11/5/2021 13:34,1,0,Michigan,Mantra,13:32:00,11/5/2021
174,11/5/2021 13:48,1,0,St. Claire,Lake,13:47:00,11/5/2021
175,11/5/2021 15:00,1,0,Beach,Mantra,15:00:00,11/5/2021
176,11/5/2021 15:07,1,0,Huron,Lake,15:07:00,11/5/2021
177,11/5/2021 15:20,1,0,Beach,Rock,15:17:00,11/5/2021
178,11/5/2021 16:20,1,0,Beach,Lake,16:20:00,11/5/2021
179,11/5/2021 16:46,1,0,St. Claire,Mantra,16:46:00,11/5/2021
180,11/5/2021 16:51,1,0,Michigan,Rock,16:51:00,11/5/2021
181,11/5/2021 17:22,1,0,Huron,Cloud,17:22:00,11/5/2021
182,11/5/2021 17:33,1,0,Beach,Mantra,17:33:00,11/5/2021
183,11/5/2021 17:37,1,0,Huron,Rock,17:37:00,11/5/2021
184,11/5/2021 17:41,1,0,Ontario,Cloud,17:39:00,11/5/2021
